iter	Passed	Remaining
405	5902	8635
406	5915	8619
407	5929	8604
408	5943	8588
409	5957	8573
410	5971	8557
411	5984	8540
412	5999	8526
413	6014	8513
414	6029	8499
415	6043	8484
416	6057	8468
417	6071	8452
418	6084	8437
419	6098	8421
420	6112	8406
421	6125	8390
422	6139	8374
423	6153	8358
424	6167	8344
425	6181	8328
426	6195	8313
427	6209	8298
428	6223	8283
429	6236	8267
430	6250	8251
431	6262	8233
432	6275	8217
433	6290	8203
434	6305	8189
435	6320	8176
436	6335	8162
437	6348	8146
438	6362	8131
439	6377	8116
440	6390	8100
441	6405	8086
442	6420	8072
443	6435	8058
444	6450	8044
445	6464	8030
446	6479	8016
447	6494	8001
448	6509	7988
449	6522	7971
450	6536	7957
451	6551	7942
452	6563	7925
453	6575	7908
454	6590	7894
455	6602	7876
456	6615	7860
457	6637	7855
458	6660	7850
459	6679	7840
460	6691	7823
461	6706	7809
462	6720	7794
463	6733	7778
464	6747	7763
465	6760	7746
466	6772	7729
467	6786	7714
468	6800	7699
469	6814	7684
470	6828	7669
471	6843	7655
472	6860	7643
473	6877	7632
474	6892	7617
475	6908	7604
476	6922	7589
477	6936	7575
478	6951	7560
479	6965	7545
480	6979	7530
481	6994	7516
482	7011	7504
483	7026	7491
484	7042	7477
485	7057	7464
486	7073	7451
487	7088	7437
488	7103	7422
489	7118	7408
490	7135	7396
491	7150	7383
492	7168	7371
493	7184	7358
494	7198	7344
495	7213	7329
496	7227	7315
497	7241	7300
498	7257	7286
499	7271	7271
500	7286	7257
501	7303	7244
502	7321	7233
503	7338	7222
504	7354	7208
505	7369	7194
506	7384	7181
507	7398	7165
508	7413	7151
509	7427	7136
510	7441	7121
511	7455	7105
512	7470	7091
513	7486	7078
514	7501	7064
515	7516	7050
516	7530	7035
517	7544	7020
518	7558	7005
519	7573	6991
520	7588	6976
521	7604	6963
522	7621	6950
523	7637	6937
524	7652	6923
525	7665	6907
526	7680	6893
527	7695	6879
528	7710	6865
529	7725	6851
530	7740	6836
531	7755	6822
532	7770	6808
533	7786	6794
534	7800	6780
535	7815	6765
536	7829	6750
537	7843	6735
538	7858	6721
539	7872	6706
540	7887	6691
541	7902	6677
542	7918	6664
543	7933	6650
544	7948	6635
545	7963	6621
546	7977	6606
547	7992	6591
548	8007	6577
549	8020	6562
550	8035	6547
551	8050	6533
552	8066	6520
553	8080	6504
554	8094	6489
555	8110	6476
556	8125	6462
557	8140	6448
558	8154	6433
559	8168	6418
560	8184	6404
561	8199	6390
562	8213	6375
563	8226	6359
564	8240	6344
565	8255	6329
566	8269	6315
567	8283	6300
568	8298	6285
569	8313	6271
570	8329	6257
571	8345	6244
572	8358	6228
573	8372	6214
574	8387	6199
575	8401	6184
576	8415	6169
577	8429	6154
578	8443	6139
579	8459	6125
580	8475	6112
581	8488	6096
582	8503	6082
583	8518	6068
584	8533	6053
585	8548	6039
586	8562	6024
587	8577	6009
588	8591	5995
589	8608	5982
590	8623	5967
591	8637	5952
592	8650	5937
593	8664	5921
594	8676	5905
595	8691	5891
596	8705	5876
597	8720	5862
598	8737	5849
599	8754	5836
600	8767	5820
601	8781	5805
602	8795	5790
603	8809	5775
604	8823	5760
605	8837	5746
606	8852	5731
607	8867	5717
608	8883	5703
609	8900	5690
610	8914	5675
611	8928	5660
612	8943	5646
613	8958	5632
614	8972	5617
615	8986	5602
616	9001	5587
617	9015	5572
618	9031	5559
619	9048	5545
620	9063	5531
621	9079	5517
622	9094	5503
623	9109	5488
624	9123	5474
625	9137	5459
626	9151	5444
627	9166	5429
628	9182	5416
629	9198	5402
630	9212	5387
631	9225	5371
632	9238	5356
633	9251	5340
634	9264	5325
635	9279	5310
636	9291	5294
637	9302	5278
638	9315	5262
639	9330	5248
640	9344	5233
641	9358	5218
642	9372	5203
643	9385	5188
644	9399	5173
645	9414	5158
646	9428	5144
647	9443	5129
648	9457	5114
649	9475	5102
650	9493	5089
651	9507	5074
652	9524	5061
653	9540	5047
654	9555	5033
655	9570	5018
656	9585	5004
657	9600	4989
658	9615	4975
659	9631	4961
660	9645	4946
661	9661	4932
662	9676	4918
663	9690	4903
664	9704	4888
665	9721	4875
666	9736	4860
667	9751	4846
668	9768	4833
669	9783	4818
670	9797	4804
671	9811	4789
